"EVAL_GRP","FORTYPCD","COUNTYCD","VOLCFNET"
11990,161,99,107917425.445526
11990,168,99,10026496.4463219
11990,403,99,520013.958235356
11990,406,99,24303862.509003
11990,503,99,63496521.5495059
11990,508,99,1554356.57308268
11990,520,99,5107239.10317302
11990,602,99,36085430.6825847
11990,161,101,20483370.6813085
11990,162,101,3483307.32377922
11990,404,101,7713513.69098598
11990,406,101,28525993.6730433
11990,500,101,442612.59054438
11990,503,101,35854300.0253115
11990,602,101,4933541.79891434
11990,706,101,2225649.40698521
11990,161,103,5579211.54734524
11990,406,103,2547595.25617627
11990,503,103,24206632.4387559
11990,141,105,3513783.762528
11990,142,105,5677647.55671329
11990,161,105,37451008.163517
11990,162,105,904376.657457
11990,402,105,2258659.74601748
11990,404,105,8314991.90407476
11990,406,105,12172319.3617077
11990,503,105,12116236.7810167
11990,508,105,9645784.82475806
11990,600,105,NA
11990,161,107,154672325.863
11990,404,107,23326047.9696702
11990,406,107,23970504.4799411
11990,503,107,55508574.9871161
11990,600,107,18694549.7715683
11990,161,109,3687324.47896336
11990,162,109,7772921.43465533
11990,406,109,4815781.9267364
11990,503,109,27841914.0447181
11990,600,109,4770702.35635787
11990,706,109,639138.394336626
11990,161,111,8425618.00027231
11990,404,111,2287365.86524117
11990,406,111,19103788.7656212
11990,502,111,3774671.69712407
11990,503,111,20138294.3051848
11990,161,113,1970520.76760583
11990,162,113,14719409.6473022
11990,404,113,19443125.8576796
11990,406,113,23168849.5327995
11990,501,113,NA
11990,503,113,35424938.0093146
11990,161,115,7514158.58725211
11990,404,115,3319009.26552927
11990,405,115,1426048.20398072
11990,406,115,6925192.40373502
11990,500,115,2107235.15891262
11990,503,115,31145560.9215804
11990,141,117,8394296.36224133
11990,161,117,29819512.910206
11990,163,117,891981.475581438
11990,403,117,4901070.21708275
11990,406,117,16336299.4148804
11990,500,117,NA
11990,503,117,23675608.4444802
11990,508,117,NA
11990,520,117,453787.362017484
11990,161,119,56474443.2274453
11990,406,119,NA
11990,500,119,NA
11990,503,119,1126599.5626947
11990,602,119,14155590.4916632
11990,706,119,7740191.18183005
11990,161,121,16289350.4230442
11990,406,121,12899325.868453
11990,500,121,NA
11990,503,121,19708683.30233
11990,508,121,5056029.70312662
11990,161,123,472067.055013434
11990,162,123,5703639.84458993
11990,406,123,7574656.32562391
11990,500,123,461261.238659712
11990,503,123,42813368.7196602
11990,520,123,5668418.3650075
11990,608,123,700690.884287064
11990,141,125,2120368.1912842
11990,161,125,50548783.8302218
11990,405,125,2946678.37945129
11990,406,125,32671606.6216824
11990,500,125,1072702.57566159
11990,503,125,71661184.2837367
11990,520,125,5414046.26899412
11990,600,125,2248336.02408556
11990,602,125,31901415.8130499
11990,605,125,8215533.55927113
11990,161,127,20972271.2335286
11990,163,127,8884839.12403765
11990,404,127,3913429.0539625
11990,405,127,3216178.59836267
11990,406,127,6400833.23925092
11990,503,127,42139365.9264215
11990,520,127,8137331.30142418
11990,141,129,12723144.3135804
11990,142,129,50621103.3092666
11990,161,129,13031379.9649284
11990,403,129,1521011.84846848
11990,406,129,27876653.3083189
11990,407,129,34346485.0204528
11990,500,129,5337109.99545251
11990,503,129,34598670.4770909
11990,600,129,15600038.9164773
11990,605,129,8024757.74784943
11990,608,129,3989043.25344778
11990,706,129,22008101.4319651
11990,142,131,5226736.33423242
11990,161,131,59751575.5149617
11990,404,131,3688618.86629544
11990,406,131,55286463.3411973
11990,500,131,NA
11990,503,131,39596700.8657091
11990,600,131,12762867.3336212
11990,602,131,7439240.83350105
11990,161,133,46944993.161543
11990,163,133,12311461.2636593
11990,405,133,6742941.94206366
11990,406,133,15208669.4020758
11990,503,133,23345681.0809205
11990,506,133,4892570.08239184
11990,520,133,2944380.17107591
12000,161,1,18646511.1696093
12000,406,1,NA
12000,501,1,1385041.62586943
12000,506,1,9726909.84462123
12000,520,1,12814378.7584807
12000,608,1,1634848.67994313
12000,141,3,9299312.73132496
12000,142,3,72927655.4316431
12000,161,3,28374627.1233631
12000,162,3,2381140.59508891
12000,403,3,3902115.01616142
12000,406,3,4399823.26271877
